date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1980m11,0.91,4.92,8.4,24.29,9.84,0,2.6,8.86,7.38,9.59,-3.31,-8.33,4.5,-5.66,0.96,15.22,0.112555549
1980m12,1.01,-1.09,-2.07,-10.59,-1.17,0.83,-1.37,4.59,-1.95,-4.52,-0.29,2.79,-1.29,1.24,1.31,-6.68,0.024121983
1981m01,2.01,-2.24,-1.96,-10.15,-8.09,5.54,0.47,-1.61,-2.57,-5.04,3.29,6.72,-3.51,4.33,1.04,-7.95,0.626922352
1981m02,2.48,6.44,4.36,-0.44,0.47,2.15,2.7,1.85,-1.27,0.57,-0.5,1.02,0.21,2.22,1.07,-1.35,0.820533564
1981m03,6.92,6.99,5.97,-2.26,4.99,1.17,12.72,5.9,2.98,3.56,3.02,0.64,-2.24,-0.54,1.21,0.74,0.932246214
1981m04,1.16,1.88,-0.94,-7.54,0.17,6.21,3.1,3.03,-2.68,-2.11,4.59,2.28,0.83,1.24,1.08,-0.91,0.752915819
1981m05,2.66,2.86,-0.37,-3.87,4.23,7.14,2.82,3.44,1.82,0.11,2.45,-0.42,0.3,-1.53,1.15,3.7,0.277700106
1981m06,-0.21,-4.28,-1.31,4.7,-6.72,-1.92,-1.42,-5.58,3.44,-2.36,-0.96,5.13,-1.37,2.66,1.35,-5.81,0.952896584
1981m07,-0.64,-2.91,-2.87,7.93,-3.79,0.37,-3.4,-3.9,2.8,-1.54,-2.05,-0.5,1.26,-2.54,1.24,-2.45,0.865819969
1981m08,-5.07,-7.9,-6.89,-6.28,-7.3,-0.81,-5.6,-7.73,-0.83,-7.04,-1.81,4.76,-0.32,1.41,1.28,-1.15,0.336200932
1981m09,-2.18,-2.97,-7.15,-12.28,-3.9,2.84,-3.64,-1.28,-5.53,-7.17,-2.45,5.17,0.08,2.63,1.24,1.95,0.419547317
1981m10,7.41,-4.15,3.68,9.92,5.21,6.02,6.77,7.95,4.88,4.92,2.37,-4.21,3.15,-3.01,1.21,4.01,0.220663096
1981m11,2.65,4.85,4.52,6.9,1.5,2.7,1.07,3.92,5.92,3.36,-1.51,1.83,0.08,0.95,1.07,-0.27,0.297133808
1981m12,-1.81,0.48,-1.66,-6.54,-0.03,-1.45,-1.94,-0.73,-2.33,-3.65,1.2,0.81,0.22,2.5,0.87,1.3,0.216292232
1982m01,-0.92,1.17,-3.31,-8.46,2.73,0.68,0.12,1.43,-0.67,-3.24,-1.14,3.19,-1.49,1.92,0.8,1.72,0.240861652
1982m02,-1.97,-2.04,-5.62,-11.09,-5.3,-5.68,-1.36,-1.8,-0.36,-5.86,0.35,6.05,-3.48,4.56,0.92,4.88,0.569434809
1982m03,2.45,3.49,-1.78,-3.65,-3.59,2.05,4.22,-2.55,1.66,-1.87,-0.05,3.81,-1.38,2.49,0.98,2.96,0.06916488
1982m04,6.67,4.44,3.24,4.34,7.44,-0.18,5.41,7.39,3.84,3.27,1.09,-2.7,1.57,-0.01,1.13,-0.4,0.626534773
1982m05,-3.26,-1.93,-4.71,2.31,-5.41,-1.02,-2.72,-3.03,-0.52,-3.99,0.64,1.75,0.87,-0.3,1.06,2.5,0.673582292
1982m06,1.67,2.65,-2.58,-6.25,-2.38,-2.45,2.67,-0.75,-2.21,-3.09,-0.52,1.53,0.01,2.72,0.96,4.96,0.69522332
1982m07,-0.46,-0.33,-2.32,-7.91,1.52,1.2,0.21,0.79,-2.57,-3.19,0.95,0.09,1.04,1.55,1.05,4.45,0.486242203
1982m08,9.17,13.74,13.97,9.69,12.79,10.84,12.58,12.37,12,11.14,-4.35,0.95,-1.89,0.09,0.76,-3.52,0.925379136
1982m09,5.25,-0.73,-1.08,1.77,1.17,0.99,4.75,1.36,1.06,1.29,2.61,0.28,2.14,-0.04,0.51,4.19,0.786902546
1982m10,10.58,16.55,13.06,5.58,16.98,8.12,16.87,8.2,4.73,11.3,1.92,-3.66,0.29,-0.34,0.59,0.18,0.686930436
1982m11,5.17,8.24,5.79,-4.4,10.68,5.95,11.18,5.2,0.16,4.67,4.43,-1.87,-0.97,0.27,0.63,5.95,0.290972168
1982m12,0.97,3.03,0.73,5.54,2.65,-1.23,-2.09,0.58,4.32,0.55,-0.04,-0.02,-0.01,1.02,0.67,0.04,0.924428346
1983m01,-1.01,5.17,5.02,3.62,8.38,12.44,1.29,1.42,3.67,3.6,3.35,-0.75,-1.55,-0.58,0.69,-1.73,0.955911763
1983m02,3.8,3.63,4.1,-0.59,3.59,-0.36,7.9,2.84,1.59,2.59,2.92,0.7,-0.52,1.05,0.62,3.77,0.517406983
1983m03,7.47,-1.14,2.1,5.97,0.67,0.64,8.51,4.52,0.27,2.82,1.37,2.02,-0.17,2.74,0.63,0.92,0.280855764
1983m04,6.19,10.88,6.33,9.38,7.49,5.14,8.57,5.05,4.76,6.67,0.48,0.49,-0.11,1.42,0.71,1.72,0.078373071
1983m05,-0.95,-2.07,1.99,1.35,2.82,-1.31,0.48,-2.73,2.6,0.52,6.3,-1.4,-1.84,-1.51,0.69,-1.56,0.609201552
